RAJ2000,DEJ2000,Flux_mJy,comment
171.874083,10.510306,44.3,
140.795958,10.511028,51.1,
135.625333,10.513556,31.5,
144.281375,10.516361,99.2,
125.563375,10.518111,32.4,
154.864458,10.5255,21.7,
147.261583,10.529694,45.9,
145.886333,10.534472,28.9,
125.691,10.536111,27.8,
132.215458,10.536333,35.4,
148.017833,10.536611,150.6,
142.367083,10.537889,21.7,
153.18516699999995,10.539528,76.7,
156.264875,10.54075,56.4,
156.633708,10.542,62.6,
147.810833,10.543556,20.7,
160.707417,10.54575,127.6,
142.844375,10.545889,56.4,
149.529333,10.54675,20.6,
129.400625,10.547139,34.4,
163.108708,10.547556,15.2,
163.814042,10.549722,35.1,
167.024167,10.552,17.5,
138.19675,10.552556,103.2,
157.12604199999996,10.55275,107.7,
131.876917,10.557556,39.2,
153.18033300000005,10.560111,52.6,
136.78175,10.561694,23.3,
141.222917,10.562167,33.0,
156.990875,10.563278,123.8,
172.031583,10.564194,19.2,
158.190292,10.565583,39.3,
146.000458,10.568722,38.2,
162.02625,10.570333,22.5,
162.058292,10.572583,15.1,
169.093208,10.573972,21.5,
162.770792,10.575694,20.1,
134.377667,10.576278,30.6,
127.321208,10.577361,24.4,
126.296708,10.577417,131.7,
140.181042,10.580222,208.4,
127.938292,10.586861,37.8,
169.413917,10.58775,20.6,
145.395,10.587778,48.1,
127.988042,10.588389,42.7,
162.423125,10.588389,18.2,
155.321042,10.589417,50.6,
159.197833,10.590139,18.0,
140.296083,10.591528,22.3,
162.44025,10.593472,59.2,
135.430083,10.595556,48.6,
128.540292,10.595806,85.9,
131.694875,10.597139,196.6,
139.919333,10.599056,35.3,
171.3905,10.599083,20.4,
141.25,10.602056,26.5,
146.03975,10.604583,185.7,
164.426583,10.606472,36.5,
152.903583,10.606639,60.0,
154.74154199999995,10.607083,71.5,
148.5095,10.608444,21.2,
126.169833,10.614861,31.2,
170.60216699999995,10.615111,33.4,
131.56508300000002,10.615139,36.5,
135.250417,10.616778,65.2,
125.318917,10.618611,33.4,
134.135083,10.619889,52.6,
148.160417,10.620139,16.0,
153.527958,10.620639,111.9,
126.883417,10.624361,16.5,
147.061417,10.626139,38.5,
171.058167,10.626806,24.0,
126.672458,10.627972,34.7,
136.517875,10.630417,46.1,
150.5835,10.630444,84.7,
150.340125,10.630583,30.4,
130.015042,10.632139,22.2,
144.860167,10.632639,37.8,
129.574917,10.632722,21.4,
146.19775,10.635528,20.5,
128.029667,10.639139,41.3,
166.9015,10.639278,25.3,
153.049417,10.639639,218.5,
161.18025,10.640194,166.0,
162.787792,10.641306,313.0,
155.640458,10.642083,16.6,
143.768667,10.64525,20.0,
168.213833,10.648083,24.2,
151.199625,10.651556,68.1,
126.333875,10.652056,72.3,
172.189708,10.652333,24.9,
126.714875,10.652722,54.6,
157.03020800000004,10.654306,19.6,
143.838042,10.654833,22.3,
152.399958,10.655,31.3,
168.088083,10.6575,25.0,
134.113708,10.657833,34.8,
146.320042,10.65925,117.1,
137.18395800000002,10.659389,35.5,
172.03729199999995,10.666,38.8,
144.221583,10.666139,36.9,
155.032333,10.667639,514.8,
156.774167,10.66925,23.7,
131.864417,10.669583,42.9,
128.160583,10.672222,242.1,
156.343458,10.674917,17.8,
137.838708,10.675056,44.5,
125.567667,10.675056,16.9,
154.351125,10.685083,137.6,
142.738333,10.685611,43.0,
163.73179199999996,10.688056,18.1,
173.39920800000004,10.690194,21.6,
126.936083,10.69025,26.0,
173.56799999999996,10.692528,15.9,
143.435583,10.692833,23.7,
142.25704199999996,10.693806,210.6,
156.045792,10.696361,30.2,
171.339542,10.697444,28.3,
128.72591699999998,10.7045,60.5,
165.695875,10.706,92.3,
166.722042,10.706528,17.6,
129.136708,10.706611,28.9,
143.16375,10.70875,32.1,
143.782667,10.709833,19.7,
154.339208,10.710917,20.1,
156.976375,10.713361,28.1,
171.692,10.713389,132.5,
172.482958,10.714556,20.0,
166.768292,10.714972,76.7,
130.921125,10.717056,16.9,
165.031375,10.717417,22.5,
154.207667,10.719361,16.4,
163.348208,10.720194,24.7,
143.15995800000005,10.723806,54.3,
135.304667,10.724111,24.9,
142.70475,10.724556,41.4,
154.798667,10.724861,54.9,
170.65741699999995,10.727306,15.4,
165.71283300000005,10.728472,20.9,
171.672708,10.729083,156.5,
171.14416699999995,10.737222,21.1,
144.699833,10.738083,23.6,
134.767208,10.739806,16.2,
163.586917,10.741083,28.6,
127.672875,10.745278,41.1,
161.902167,10.746889,27.4,
161.8535,10.748639,53.1,
129.414917,10.753639,37.9,
131.552583,10.754667,19.3,
128.30754199999998,10.762139,106.3,
147.509958,10.762528,65.7,
126.708792,10.762556,25.9,
160.661458,10.767694,45.1,
169.388875,10.767972,23.4,
165.198875,10.770306,719.7,
134.02391699999998,10.770389,70.3,
137.172125,10.772972,30.1,
143.863208,10.773222,131.5,
153.201375,10.77575,178.5,
150.099458,10.775806,27.7,
137.000833,10.776833,90.1,
141.463625,10.777639,78.7,
153.619167,10.779861,42.5,
155.043583,10.780444,52.6,
130.061208,10.783083,19.4,
129.40741699999998,10.786111,46.9,
174.130792,10.78625,48.8,
136.11308300000002,10.786444,43.7,
166.087583,10.787806,127.5,
172.633333,10.789444,46.8,
140.970125,10.790139,24.0,
147.387458,10.791556,19.8,
149.20429199999995,10.796639,58.4,
145.85625,10.797278,17.1,
148.809375,10.798694,54.4,
145.991333,10.806806,26.2,
141.322833,10.807806,36.8,
156.923292,10.810194,19.1,
134.77125,10.81225,51.7,
136.448917,10.814972,18.9,
145.815167,10.816222,54.4,
166.601542,10.818139,18.8,
141.811792,10.820583,21.5,
161.502833,10.821722,22.5,
131.919958,10.824667,76.8,
170.094458,10.826139,29.2,
174.915,10.828917,25.0,
132.536542,10.831194,46.7,
160.344208,10.834194,16.8,
146.733833,10.835667,47.6,
153.803333,10.836333,22.0,
166.767625,10.838028,96.9,
143.565042,10.838167,25.1,
168.63575,10.841167,468.7,
150.786125,10.846583,90.5,
166.670583,10.846806,82.9,
170.7875,10.847722,46.0,
168.639375,10.848083,352.4,
125.516542,10.848722,88.0,
135.468417,10.849167,22.0,
125.503625,10.849972,83.9,
153.566792,10.85175,902.2,
147.296708,10.85325,15.0,
147.693875,10.855,17.2,
142.963042,10.855194,25.9,
151.15,10.856111,38.9,
159.053625,10.861306,170.7,
162.516375,10.862111,47.8,
145.579958,10.866806,16.6,
147.551792,10.866833,28.8,
141.259792,10.867,28.8,
147.27658300000004,10.869389,17.4,
146.246208,10.869972,24.3,
125.179542,10.87175,269.5,
125.686,10.871833,20.2,
164.394875,10.872889,34.4,
126.7775,10.873028,209.4,
160.958625,10.879306,120.7,
154.1065,10.88025,34.5,
129.452333,10.882722,210.3,
162.001417,10.883806,25.9,
174.2715,10.883917,17.2,
148.65129199999996,10.887222,15.0,
151.989917,10.888972,34.8,
133.905417,10.889028,111.2,
160.875958,10.890833,39.1,
156.798583,10.891583,86.1,
149.684875,10.895417,17.6,
139.044625,10.895861,23.5,
133.94116699999998,10.896917,62.0,
172.654125,10.900278,128.1,
157.602625,10.901861,25.0,
163.239792,10.906278,201.6,
149.04275,10.917139,15.2,
161.071458,10.917639,199.0,
173.050625,10.918278,22.8,
139.06591699999998,10.919,22.6,
147.348083,10.9225,18.9,
165.953,10.923917,18.7,
143.675083,10.927583,39.7,
135.853917,10.928917,35.1,
157.654417,10.929639,20.6,
160.9465,10.931778,16.6,
156.495542,10.932389,38.7,
152.250667,10.93325,22.5,
150.167375,10.937722,21.8,
173.838208,10.938667,230.8,
173.384958,10.938806,53.1,
156.7165,10.939944,33.9,
130.140375,10.940278,82.6,
163.27266699999996,10.941167,26.5,
173.91483300000004,10.944278,35.0,
154.661833,10.944833,39.2,
134.12675,10.946833,19.7,
150.9675,10.949667,292.0,
150.293375,10.953139,23.3,
126.263333,10.96,27.5,
160.851917,10.962306,41.1,
172.591625,10.964278,21.5,
131.690708,10.967917,15.6,
162.949167,10.969028,29.0,
160.753917,10.969278,18.8,
127.461625,10.969861,40.9,
149.98,10.970722,40.3,
145.50829199999995,10.97275,15.1,
170.85375,10.972944,70.5,
126.569083,10.974111,73.7,
157.547792,10.974389,56.7,
151.880167,10.975306,62.6,
144.736042,10.975972,280.5,
160.8765,10.97775,82.9,
154.520333,10.978194,42.5,
160.025875,10.97825,223.8,
148.819208,10.980806,93.6,
130.052208,10.982667,21.8,
137.683,10.983194,33.1,
141.6285,10.983694,197.0,
134.893125,10.985778,25.4,
125.063,10.985833,103.6,
173.101,10.987389,102.9,
138.98079199999998,10.992639,39.4,
172.89525,10.99475,235.0,
125.782875,10.994833,83.8,
161.51575,10.995778,113.6,
162.919083,10.996694,73.8,
159.879083,11.000083,21.4,
163.900375,11.000139,26.0,
151.94025,11.003361,68.6,
156.100625,11.004583,20.7,
136.13458300000002,11.006056,56.0,
141.93375,11.007583,213.6,
135.52866699999998,11.009083,40.5,
126.61175,11.009556,63.7,
154.109542,11.009667,55.5,
144.565833,11.010111,20.0,
163.00075,11.011361,28.9,
141.589542,11.011611,15.1,
165.240875,11.014639,127.4,
173.222208,11.017722,21.2,
125.550125,11.020306,20.2,
151.28004199999995,11.023,34.3,
174.07566699999995,11.024222,26.7,
128.402458,11.028139,38.3,
174.671042,11.028667,42.9,
159.045042,11.029083,46.9,
130.03716699999998,11.03025,55.3,
161.31025,11.031472,223.1,
160.953708,11.032,80.6,
126.151958,11.035333,44.7,
144.194875,11.036611,15.3,
153.800167,11.038972,37.6,
148.568875,11.039861,20.7,
148.964667,11.043444,32.5,
125.275917,11.046194,16.5,
140.768292,11.046222,27.6,
170.100208,11.046972,44.7,
137.264125,11.047778,22.8,
127.47,11.050806,15.7,
157.64675,11.053444,36.4,
153.35299999999995,11.055361,19.0,
141.552292,11.056139,48.9,
166.145,11.056667,738.0,
136.517458,11.057694,843.9,
155.8255,11.059306,23.8,
172.232208,11.059722,18.1,
157.190208,11.060694,24.1,
126.516167,11.062056,31.1,
158.251583,11.062389,21.7,
130.7075,11.063556,23.8,
159.555667,11.066833,15.2,
170.41583300000005,11.067389,109.7,
145.693292,11.068194,19.0,
141.0945,11.069694,19.5,
126.494667,11.069944,19.1,
161.849875,11.070083,19.6,
129.53375,11.071083,155.6,
140.09745800000002,11.072139,137.1,
168.152875,11.074889,105.8,
166.251583,11.075139,24.5,
165.80375,11.077139,22.1,
126.545875,11.077361,26.6,
170.088125,11.0795,106.9,
150.736375,11.083111,48.9,
169.984167,11.083111,24.8,
173.834542,11.083139,19.3,
142.47816699999996,11.084278,41.6,
173.74408300000005,11.086,32.2,
130.64904199999998,11.086306,16.3,
138.093958,11.088194,23.3,
144.94104199999995,11.088722,18.2,
148.60695800000005,11.089417,19.4,
148.947792,11.089694,17.4,
164.60441699999996,11.094806,309.3,
148.177333,11.09575,26.1,
162.25325,11.097028,55.6,
140.199042,11.098556,15.1,
153.01329199999995,11.101333,53.6,
150.106125,11.102444,182.7,
166.25845800000005,11.102861,26.0,
140.372375,11.109056,29.8,
155.830083,11.113444,20.7,
127.387,11.114917,19.6,
150.584375,11.115389,21.8,
139.85704199999998,11.115944,34.5,
147.29804199999995,11.117,23.5,
138.211042,11.119944,19.4,
158.964958,11.123306,56.7,
171.457875,11.12375,36.0,
166.554167,11.125028,18.9,
172.3765,11.125667,27.4,
142.82825,11.125944,17.6,
148.128083,11.126361,31.9,
148.152792,11.1265,23.4,
150.36895800000005,11.129167,525.6,
162.528167,11.129389,29.1,
138.82554199999998,11.129611,19.3,
162.15270800000005,11.129917,97.4,
162.199375,11.139222,65.8,
135.940208,11.140722,15.1,
144.08045800000005,11.141861,41.4,
162.21175,11.143194,72.2,
147.04925,11.144556,23.2,
139.662792,11.144639,103.0,
132.690583,11.144833,50.4,
162.525458,11.146083,17.7,
145.707833,11.147861,83.0,
154.749208,11.154028,61.4,
131.697333,11.155083,29.9,
130.383208,11.157389,18.0,
172.001833,11.157972,26.3,
137.84241699999998,11.161472,74.4,
162.0955,11.165444,34.5,
174.656375,11.167306,24.0,
161.751375,11.167722,18.3,
152.476458,11.168028,84.1,
147.467125,11.168528,19.0,
140.712417,11.169944,36.2,
153.636458,11.170278,18.8,
135.4035,11.171444,69.9,
174.162792,11.172056,20.5,
149.778042,11.179722,15.8,
164.758625,11.182167,29.4,
147.914292,11.187444,18.2,
126.865125,11.188278,17.2,
172.086875,11.190694,86.2,
149.37729199999995,11.19225,44.3,
145.584708,11.192528,349.0,
143.501125,11.192639,71.2,
133.186417,11.194528,44.7,
139.445375,11.194778,15.1,
160.580125,11.194917,20.1,
168.361042,11.197028,459.3,
132.8205,11.202361,145.3,
166.13204199999996,11.202472,19.8,
146.6615,11.203972,22.6,
144.983625,11.204139,15.0,
143.95079199999995,11.20625,15.5,
160.809458,11.206972,26.5,
129.24754199999998,11.2075,17.0,
136.69691699999998,11.208,23.9,
148.086667,11.208694,42.1,
139.96825,11.211667,28.2,
146.051083,11.213389,71.8,
139.1795,11.216389,28.4,
131.539375,11.217806,71.3,
168.036125,11.218972,40.0,
150.391333,11.222361,61.0,
162.076875,11.223139,15.3,
131.941458,11.224028,25.6,
159.099167,11.225306,24.1,
139.318292,11.226861,799.7,
144.174625,11.231528,48.5,
146.94116699999995,11.231722,210.7,
165.650708,11.233722,47.6,
130.92725,11.234444,418.8,
172.316958,11.235528,26.1,
136.01575,11.235583,71.5,
133.5145,11.235861,15.3,
153.339667,11.23725,17.6,
153.251875,11.242194,40.3,
148.113208,11.242917,93.7,
140.57975,11.243778,23.6,
163.17425,11.244056,20.8,
165.895125,11.245722,268.5,
132.272708,11.246861,38.6,
157.101292,11.247917,76.6,
135.26804199999998,11.248361,15.6,
165.733625,11.249528,49.6,
139.469125,11.253806,172.8,
145.849208,11.255056,64.9,
172.003875,11.255333,142.7,
165.024,11.255639,15.7,
131.09133300000002,11.259528,32.8,
149.404833,11.259806,30.6,
172.96325,11.263167,68.7,
145.97358300000005,11.2645,17.8,
162.796167,11.26625,19.6,
135.139875,11.266639,101.9,
162.448208,11.267694,20.8,
146.26025,11.269194,42.9,
132.456083,11.27025,38.1,
166.91575,11.271333,18.7,
126.24125,11.272306,112.8,
128.81508300000002,11.272639,149.4,
149.419083,11.272722,147.7,
170.073833,11.274139,21.2,
148.38329199999995,11.274472,20.2,
139.413708,11.277972,208.6,
149.62475,11.279111,30.2,
171.887333,11.280778,42.9,
141.283875,11.283556,16.6,
135.10454199999998,11.283611,75.3,
152.440792,11.284306,33.1,
127.351458,11.288417,35.1,
135.341875,11.289556,48.7,
130.290583,11.291528,76.1,
145.113917,11.29225,22.2,
128.91341699999998,11.292417,41.9,
125.438833,11.294722,16.3,
148.140792,11.295389,18.1,
161.149458,11.29625,17.6,
125.108583,11.298944,38.3,
162.21283300000005,11.298972,19.2,
135.003917,11.301139,66.1,
167.99625,11.307,45.2,
168.977583,11.307667,35.7,
159.441875,11.308056,52.8,
155.089833,11.308972,16.5,
153.644542,11.3095,19.1,
142.755625,11.313083,23.9,
159.699917,11.313083,29.2,
136.19608300000002,11.3155,60.6,
140.813375,11.316944,27.1,
155.058458,11.316944,25.3,
138.864417,11.318861,21.8,
138.628375,11.318917,48.1,
173.4395,11.319944,18.6,
148.782917,11.320389,30.6,
173.39558300000004,11.320528,23.2,
133.173333,11.323917,27.9,
167.295417,11.325361,33.0,
129.511667,11.326611,16.2,
138.183542,11.329944,15.8,
163.850292,11.330139,16.7,
151.85925,11.330444,59.6,
174.507375,11.333,15.5,
149.363208,11.33325,29.6,
144.35825,11.335194,15.1,
152.029375,11.336667,23.5,
169.616,11.338944,27.5,
146.94175,11.339111,47.5,
171.1095,11.341083,16.8,
160.053167,11.344361,62.1,
142.517125,11.34525,89.5,
125.916792,11.345528,15.8,
136.091625,11.348667,25.4,
171.887458,11.349056,32.0,
165.527792,11.351222,80.8,
143.620958,11.353278,15.3,
132.940042,11.359778,84.8,
149.016292,11.360528,117.6,
149.28370800000005,11.361639,34.3,
171.708583,11.367333,44.0,
128.461833,11.369389,23.1,
143.85625,11.371972,132.5,
137.058583,11.372083,15.5,
134.92308300000002,11.37325,56.3,
171.81825,11.376944,83.7,
146.241208,11.377806,48.0,
161.795125,11.378278,28.2,
144.872083,11.378722,34.7,
138.524333,11.383806,17.9,
137.570417,11.386194,94.5,
126.4485,11.386444,47.3,
152.4685,11.386639,64.4,
172.126917,11.387639,16.1,
135.368583,11.388306,15.8,
127.618583,11.390528,125.2,
128.310125,11.393389,428.3,
127.842167,11.396639,45.4,
150.84675,11.399056,31.8,
137.555917,11.399583,67.5,
172.55404199999995,11.399861,17.3,
130.616875,11.400111,20.4,
143.757417,11.400611,37.8,
149.629083,11.4025,79.4,
170.25400000000005,11.405139,48.8,
173.46099999999996,11.407472,15.7,
143.850083,11.408861,145.3,
173.226958,11.415917,16.1,
126.195208,11.41825,54.1,
156.01775,11.419667,45.2,
166.511375,11.419722,71.0,
130.024833,11.422417,42.5,
131.537583,11.422556,19.1,
159.937208,11.423778,32.7,
141.44720800000005,11.424056,24.7,
166.70275,11.424611,25.1,
134.584125,11.426222,18.4,
132.301042,11.427389,24.8,
171.06608300000005,11.4295,16.9,
131.339792,11.43175,175.2,
173.128458,11.433139,23.0,
142.687208,11.433167,21.1,
160.05,11.434,16.2,
125.055667,11.434861,17.0,
165.860458,11.435806,21.7,
162.161167,11.437667,65.9,
143.803542,11.442333,15.7,
139.909708,11.444667,24.4,
149.55166699999995,11.445389,241.0,
131.597708,11.446389,63.4,
148.937667,11.446972,138.0,
162.607542,11.454056,22.9,
147.86183300000005,11.455861,18.9,
170.297417,11.45625,18.6,
129.757667,11.459917,51.9,
140.255625,11.462833,20.1,
140.896958,11.465306,73.4,
152.58433300000004,11.4675,22.8,
128.280875,11.468667,24.8,
128.678458,11.470917,132.7,
172.08408300000005,11.472389,23.4,
168.467042,11.473389,58.9,
134.659167,11.473611,110.3,
144.988208,11.473611,33.4,
140.22120800000002,11.475278,33.4,
168.054292,11.476278,40.6,
137.199667,11.476833,17.6,
164.06099999999995,11.480389,19.5,
125.883708,11.480806,41.7,
147.414583,11.483,15.5,
133.975083,11.483583,52.4,
